Medicine Name,Manufacturing Date,Expiry Date,Company,Price,Quantity
Amoxicillin 821mg,2020-08-18,2022-04-05,Zydus,140.0,80
Losartan 859mg,2023-09-28,2025-05-27,Biocon,226.35,67
Atorvastatin 322mg,2021-09-02,2024-05-09,Biocon,76.12,21
Paracetamol 506mg,2024-10-27,2026-10-06,Pfizer,250.52,20
Losartan 580mg,2024-05-18,2025-09-04,Zydus,116.35,32
Paracetamol 718mg,2021-12-27,2023-10-17,Biocon,445.01,71
Metformin 349mg,2023-08-22,2025-11-03,Biocon,456.59,75
Azithromycin 503mg,2021-10-02,2024-02-24,Cipla,234.31,88
Losartan 930mg,2021-06-09,2022-07-18,Zydus,257.44,47
Amlodipine 101mg,2021-02-24,2022-08-20,Lupin,294.41,96
Omeprazole 565mg,2023-08-17,2026-07-11,Aurobindo,237.75,67
Amoxicillin 245mg,2023-01-07,2024-02-28,Novartis,44.02,2
Omeprazole 231mg,2020-05-20,2022-05-03,Zydus,187.15,22
Amlodipine 162mg,2020-02-20,2022-07-04,Zydus,31.76,80
Losartan 431mg,2022-06-25,2023-08-27,Dr. Reddy's,182.89,38
Amoxicillin 383mg,2020-06-13,2022-05-03,Lupin,35.32,15
Losartan 874mg,2024-03-18,2026-09-03,Sun Pharma,124.65,96
Amoxicillin 750mg,2020-02-08,2021-03-30,Dr. Reddy's,480.51,43
Cetrizine 707mg,2022-07-10,2025-02-21,Lupin,156.08,95
Amoxicillin 599mg,2024-02-05,2026-05-07,Aurobindo,170.84,70
Losartan 770mg,2023-06-09,2026-05-01,Dr. Reddy's,225.13,73
Azithromycin 740mg,2022-02-06,2023-11-04,Biocon,306.08,56
Cetrizine 338mg,2020-12-22,2023-12-08,Zydus,443.67,56
Metformin 331mg,2024-10-15,2027-05-18,Aurobindo,354.35,39
Cetrizine 569mg,2020-07-09,2022-09-30,Pfizer,470.33,74
Amoxicillin 365mg,2020-01-08,2021-06-14,Lupin,451.57,10
Azithromycin 958mg,2020-12-15,2022-08-15,Aurobindo,400.46,34
Cetrizine 366mg,2023-01-30,2025-08-04,Biocon,310.46,12
Atorvastatin 222mg,2021-09-04,2024-03-17,Cipla,73.04,86
Azithromycin 769mg,2023-09-20,2026-01-16,Aurobindo,110.76,37
Losartan 572mg,2020-04-01,2021-11-16,Biocon,163.08,28
Azithromycin 564mg,2024-03-09,2026-01-11,Cipla,472.59,13
Paracetamol 736mg,2020-01-28,2021-12-27,Glenmark,420.42,8
Ibuprofen 402mg,2020-08-13,2022-10-19,Novartis,452.65,36
Ibuprofen 745mg,2021-05-21,2023-12-04,Aurobindo,194.23,15
Cetrizine 908mg,2024-09-02,2026-01-10,Aurobindo,165.57,19
Ibuprofen 597mg,2023-03-18,2025-06-30,Lupin,403.58,83
Amoxicillin 809mg,2020-10-24,2023-04-04,Sun Pharma,252.11,60
Paracetamol 205mg,2022-01-13,2023-08-16,Biocon,262.23,20
Ibuprofen 662mg,2023-03-11,2025-07-24,Cipla,250.59,64
Metformin 848mg,2023-09-29,2025-02-02,Glenmark,453.97,1
Paracetamol 308mg,2024-05-10,2026-11-10,Biocon,57.87,61
Metformin 811mg,2020-08-15,2022-03-29,Sun Pharma,350.68,100
Cetrizine 579mg,2021-09-09,2022-10-22,Aurobindo,429.27,75
Amoxicillin 457mg,2024-10-06,2027-06-11,Glenmark,145.13,93
Atorvastatin 546mg,2020-11-07,2022-11-02,Sun Pharma,290.64,1
Omeprazole 996mg,2022-10-12,2025-06-05,Dr. Reddy's,381.27,52
Amlodipine 136mg,2021-11-03,2022-11-22,Novartis,464.02,96
Ibuprofen 999mg,2022-02-08,2025-02-01,Aurobindo,25.08,72
Amlodipine 224mg,2022-11-14,2025-03-10,Dr. Reddy's,483.73,84
